carrier	model	os_version	pre-install browser	Chrome for Android
docomo	N-07D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; N-07D Build/A1000921) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; N-07D Build/A1000921) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	N-08D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; N-08D Build/A5001911) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; N-08D Build/A5001911) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166  Safari/535.19"
docomo	P-01D	2.3.4	"Mozilla/5.0 (Linux; U; Android 2.3.4; ja-jp; P-01D Build/GRH78) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	P-02D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; P-02D Build/GRJ90) AppleWebkit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	P-02E			
docomo	P-04D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; P-04D Build/GRJ90) AppleWebkit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	P-05D	2.3.5	"Mozilla/5.0 (Linux; U; Android 2.3.5; ja-jp; P-05D Build/GRJ90) AppleWebkit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	P-06D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; P-06D Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; P-06D Build/IMM76D) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	P-07C	2.3.3	"Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; P-07C Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"	
docomo	P-07D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; P-07D Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30"	"Mozilla/5.0 (Linux; Android 4.0.4; P-07D Build/IMM76I) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.166 Mobile Safari/535.19"
docomo	P-08D	4.0.4	"Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; P-08D Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"	
